service (원래 사업 이름)	띄어쓰기한 사업 이름 	category_one	category_two	category_three	assigned	summary
학교로 찾아가는 원전하나줄이기 에너지체험교실버스	학교 찾아가는 원전하나줄이기 에너지 체험 교실 버스	환경보호	환경보호일반	도시환경 	200000000	200000000
학교보안관 운영 지원	학교 보안관 운영 지원	교육	유아및초중등교육	유아교육 	20349014000	1.04854E+11
학교시설 복합화 지원사업(관악남부)	학교 시설 복합화 지원 사업 관악남부 	문화체육관광	체육	체육정책 	480000000	480000000
학교시설 효율적 관리방안 연구	학교 시설 효율적 관리 방안 연구	지역개발	지역및도시	건설건축 	196000000	196000000
학교양치시설설치	학교 양치 시설설치	보건	보건의료	지역보건 	0	0
학교용지 매입비 부담	학교용지 매입비 부담	교육	유아및초중등교육	유아교육 	17784505000	2.21943E+11
학교운동장 생활 체육시설 지원	학교 운동장 생활 체육 시설 지원	문화체육관광	체육	체육정책 	1230000000	4920000000
학교체육부 창단 육성	학교 체육부 창단 육성	문화체육관광	체육	체육정책 	20000000	0
학교체육시설 개방을 위한 시설확충 지원	학교 체육 시설 개방 시설 확충 지원	문화체육관광	체육	체육정책 	0	0
학교폭력예방 맞춤형 교육지원 시범운영	학교 폭력 예방 맞춤형 교육 지원 시범 운영	교육	유아및초중등교육	유아교육 	0	0
학동사거리~신사동 656-20 외 1개소 사각형거 보수보강	학동사거리 신사동 656-20 1개소 사각형거 보수 보강	환경보호	상하수도및수질	상수도 	1400000000	1400000000
학부교육역량강화사업	학부 교육 역량 강화 사업	교육	고등교육	대학관리일반 	0	0
학부모식품안전지킴이 운영	학부모 식품 안전 지킴이 운영	보건	식품의약안전	식품안전 	130000000	650000000
학부모참소리단 운영	학부모 참소리단 운영	교육	유아및초중등교육	유아교육 	0	0
학생 및 저소득층 아동치과주치의	학생 저소득층 아동 치과 주치의	보건	보건의료	지역보건 	1405000000	2910000000
학생들의 꿈,희망,진로설계프로젝트 청소년 진로탐색 프로그램운영(주민참여)	학생들의 꿈 희망 진로 설계 프로젝트 청소년 진로 탐색 프로그램 운영 주민참여 	사회복지	노인청소년	노인생활안정 	90000000	90000000
학생생명 사랑을 위한 힐링학교 운영(주민참여)	학생 생명 사랑 힐링학교 운영 주민참여 	교육	유아및초중등교육	유아교육 	0	300000000
학술연구 조성비 지급	학술 연구 조성비 지급	교육	고등교육	대학관리일반 	3450000000	15750000000
학술용역사업 심의회의 운영	학술 용역 사업 심의 회의 운영	일반공공행정	일반행정	일반행정지원 	44250000	244200000
학술회의 개최 및 백제학 총서 발간	학술 회의 개최 백제학 총서 발간	문화체육관광	문화재	문화재보존정책 	0	0
학습조직 운영 및 독서모임 활성화 지원	학습 조직 운영 독서 모임 활성화 지원	일반공공행정	일반행정	일반행정지원 	214840000	732990000
학업중단 청소년 부모 네트워크 지원	학업 중단 청소년 부모 네트워크 지원	교육	유아및초중등교육	유아교육 	0	0
학여울역~대치우성아파트사거리간 침수방지	학여울역 대치우성아파트사거리 침수 방지	환경보호	상하수도및수질	상수도 	0	0
한강 관공선 등 운영 및 관리	한강 관공선 운영 관리	환경보호	환경보호일반	도시환경 	1589425000	6342700000
한강 노들섬 장래 활용방안 수립	한강 노들섬 장래 활용 방안 수립	지역개발	지역및도시	건설건축 	0	500000000
한강 밤섬 람사르습지 보전관리	한강 밤섬 람사르습지 보전 관리	환경보호	환경보호일반	도시환경 	56705000	316820000
한강 생태공원 확충(서래섬주변)	한강 생태공원 확충 서래섬 주변 	환경보호	환경보호일반	도시환경 	1000000000	17820000000
한강 서래섬 유채꽃 축제	한강 서래섬 유채꽃 축제	환경보호	환경보호일반	도시환경 	40000000	200000000
한강 수상방재 및 수중·수상 청소	한강 수상 방재 수중 수상 청소	환경보호	환경보호일반	도시환경 	702000000	3488413000
한강 스토리텔링을 통한 관광 상품화	한강 스토리텔링 관광 상품화	환경보호	환경보호일반	도시환경 	490300000	686200000
한강 안양천 예술제 지원	한강 안양천 예술제 지원	문화체육관광	문화예술	지역문화예술진흥 	150000000	150000000
한강 어류·조류 서식환경 개선	한강 어류 조류 서식 환경 개선	환경보호	환경보호일반	도시환경 	132100000	770700000
한강 자연성 회복 사업	한강 자연성 회복 시범 사업	환경보호	환경보호일반	도시환경 	0	17350000000
한강 자전거공원 운영 및 관리	한강 자전거 공원 운영 관리	환경보호	환경보호일반	도시환경 	155919000	318803000
한강 종이비행기 대회	한강 종이 비행기 대회	환경보호	환경보호일반	도시환경 	50000000	250000000
한강 하천시설 유지관리 및 개선공사	한강 하천 시설 유지 관리 개선공사	환경보호	환경보호일반	도시환경 	2865697000	8334076000
한강건축상상전	한강 건축 상상전	지역개발	지역및도시	건설건축 	180000000	180000000
